Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCM53,OUT010,1000
NCN18,OUT049,1000
FDF32,OUT035,1000
FDF11,OUT013,1000
DRI59,OUT049,1000
NCG54,OUT035,1000
FDM44,OUT046,1000
FDT57,OUT018,1000
FDV24,OUT046,1000
FDI50,OUT019,1000
FDS09,OUT035,1000
NCC31,OUT027,1000
FDQ07,OUT019,1000
FDC22,OUT017,1000
FDZ56,OUT046,1000
FDZ40,OUT019,1000
FDS46,OUT027,1000
DRD24,OUT045,1000
FDV45,OUT017,1000
FDL26,OUT045,1000
FDA56,OUT018,1000
FDN27,OUT046,1000
FDM20,OUT049,1000
FDO16,OUT017,1000
FDL03,OUT035,1000
FDE58,OUT046,1000
FDI02,OUT027,1000
NCC55,OUT019,1000
FDR03,OUT018,1000
FDB14,OUT017,1000
FDR45,OUT013,1000
NCN07,OUT017,1000
FDM51,OUT019,1000
FDT52,OUT027,1000
FDL26,OUT046,1000
NCZ42,OUT046,1000
DRI47,OUT019,1000
FDW40,OUT013,1000
FDN34,OUT046,1000
FDS01,OUT035,1000
NCG55,OUT045,1000
FDC11,OUT035,1000
FDX35,OUT018,1000
NCB06,OUT046,1000
FDR09,OUT019,1000
FDC53,OUT017,1000
FDY45,OUT013,1000
FDA22,OUT010,1000
FDE02,OUT035,1000
FDW21,OUT045,1000
FDV34,OUT046,1000
FDS59,OUT049,1000
NCW17,OUT017,1000
NCK54,OUT046,1000
FDG17,OUT019,1000
FDG35,OUT017,1000
FDD08,OUT010,1000
NCO07,OUT017,1000
FDJ10,OUT010,1000
FDW36,OUT017,1000
FDW21,OUT010,1000
FDY19,OUT017,1000
DRE03,OUT013,1000
NCC55,OUT049,1000
FDH52,OUT010,1000
FDO09,OUT017,1000
FDU43,OUT045,1000
FDX09,OUT010,1000
FDH40,OUT019,1000
FDW58,OUT017,1000
FDC47,OUT017,1000
NCR41,OUT035,1000
DRG49,OUT035,1000
FDC52,OUT027,1000
FDY13,OUT046,1000
FDY35,OUT013,1000
FDI35,OUT017,1000
NCU18,OUT049,1000
FDY33,OUT018,1000
FDC15,OUT027,1000
FDU01,OUT049,1000
NCU42,OUT046,1000
NCV29,OUT018,1000
NCY30,OUT017,1000
FDQ46,OUT049,1000
FDG58,OUT027,1000
FDK33,OUT017,1000
NCD07,OUT045,1000
NCX29,OUT027,1000
NCT42,OUT013,1000
DRN59,OUT035,1000
FDI44,OUT035,1000
FDA45,OUT049,1000
FDP31,OUT045,1000
FDY01,OUT046,1000
FDT09,OUT018,1000
DRH03,OUT027,1000
FDA36,OUT018,1000
NCF31,OUT017,1000
FDG14,OUT049,1000
FDG28,OUT027,1000
FDU14,OUT049,1000
FDY47,OUT019,1000
FDI56,OUT049,1000
DRD01,OUT013,1000
FDM22,OUT046,1000
FDH33,OUT013,1000
DRZ24,OUT013,1000
NCQ38,OUT046,1000
FDO16,OUT027,1000
FDU07,OUT027,1000
NCB07,OUT013,1000
FDU48,OUT045,1000
NCM43,OUT045,1000
FDR31,OUT010,1000
DRK49,OUT018,1000
NCI30,OUT010,1000
DRD60,OUT017,1000
NCG19,OUT046,1000
FDH12,OUT035,1000
FDM32,OUT035,1000
FDM27,OUT035,1000
NCU53,OUT027,1000
NCQ18,OUT046,1000
FDS10,OUT013,1000
FDB33,OUT027,1000
FDI12,OUT013,1000
NCW42,OUT013,1000
NCC06,OUT018,1000
FDW02,OUT017,1000
NCD43,OUT017,1000
FDM57,OUT018,1000
FDA58,OUT017,1000
FDK56,OUT046,1000
FDP52,OUT045,1000
FDW20,OUT018,1000
FDS52,OUT049,1000
NCT29,OUT018,1000
NCL54,OUT013,1000
FDC05,OUT045,1000
FDF34,OUT035,1000
FDP03,OUT027,1000
FDD32,OUT010,1000
FDZ10,OUT045,1000
FDZ40,OUT035,1000
FDD51,OUT018,1000
NCY30,OUT019,1000
FDP58,OUT017,1000
FDV49,OUT017,1000
FDY24,OUT019,1000
NCO55,OUT017,1000
FDR13,OUT017,1000
FDS51,OUT017,1000
FDP26,OUT045,1000
NCB54,OUT027,1000
FDF32,OUT017,1000
FDN31,OUT018,1000
DRM48,OUT017,1000
FDN20,OUT049,1000
DRL01,OUT046,1000
FDV56,OUT049,1000
DRH13,OUT027,1000
FDA03,OUT017,1000
FDF47,OUT027,1000
FDX32,OUT046,1000
FDX57,OUT049,1000
NCA30,OUT045,1000
FDO49,OUT013,1000
FDL04,OUT019,1000
DRM48,OUT035,1000
FDR16,OUT013,1000
NCC19,OUT018,1000
NCE42,OUT045,1000
FDY24,OUT017,1000
FDH19,OUT049,1000
FDJ46,OUT013,1000
FDN45,OUT010,1000
FDY08,OUT035,1000
FDZ37,OUT035,1000
NCT30,OUT045,1000
DRY23,OUT018,1000
NCZ30,OUT018,1000
FDC44,OUT018,1000
FDB45,OUT035,1000
FDY04,OUT013,1000
FDM27,OUT046,1000
FDZ43,OUT017,1000
FDT39,OUT019,1000
NCC06,OUT019,1000
FDL15,OUT027,1000
FDL57,OUT017,1000
FDU08,OUT046,1000
FDK40,OUT017,1000
FDQ12,OUT010,1000
FDS48,OUT017,1000
FDP09,OUT045,1000
FDW21,OUT049,1000
FDY25,OUT035,1000
DRE13,OUT017,1000
FDV43,OUT019,1000
FDD22,OUT045,1000
FDM46,OUT019,1000
NCO30,OUT010,1000
FDM25,OUT046,1000
NCN41,OUT049,1000
FDU24,OUT045,1000
FDZ50,OUT046,1000
FDP45,OUT013,1000
NCM54,OUT045,1000
FDW10,OUT019,1000
FDP20,OUT017,1000
FDK32,OUT046,1000
FDN52,OUT049,1000
FDM58,OUT045,1000
FDZ46,OUT027,1000
NCA18,OUT018,1000
FDD35,OUT046,1000
NCK31,OUT035,1000
FDI40,OUT027,1000
FDT50,OUT019,1000
NCT06,OUT046,1000
FDT31,OUT035,1000
FDT45,OUT049,1000
FDT13,OUT045,1000
FDO50,OUT045,1000
NCU18,OUT010,1000
NCR54,OUT049,1000
NCO18,OUT018,1000
FDU09,OUT045,1000
FDT13,OUT018,1000
FDE09,OUT046,1000
NCK53,OUT019,1000
FDG45,OUT049,1000
DRH15,OUT035,1000
FDO21,OUT019,1000
FDD14,OUT027,1000
FDC09,OUT046,1000
FDH45,OUT027,1000
FDV32,OUT046,1000
FDG12,OUT035,1000
FDS32,OUT013,1000
NCL55,OUT018,1000
DRE01,OUT035,1000
DRE15,OUT049,1000
NCL42,OUT045,1000
FDP31,OUT013,1000
FDN33,OUT018,1000
FDZ59,OUT046,1000
FDE45,OUT010,1000
FDJ07,OUT013,1000
FDQ45,OUT018,1000
FDM33,OUT027,1000
FDO15,OUT010,1000
FDM46,OUT013,1000
FDR03,OUT045,1000
FDY49,OUT018,1000
FDQ60,OUT045,1000
FDW10,OUT049,1000
FDO51,OUT049,1000
FDJ40,OUT018,1000
FDS20,OUT018,1000
FDU45,OUT013,1000
FDV02,OUT035,1000
FDN09,OUT046,1000
NCM55,OUT027,1000
FDN23,OUT018,1000
FDY31,OUT010,1000
FDW03,OUT010,1000
FDD14,OUT046,1000
FDV23,OUT017,1000
DRI03,OUT045,1000
FDN13,OUT035,1000
FDF45,OUT027,1000
FDU46,OUT035,1000
FDB57,OUT049,1000
FDV12,OUT049,1000
FDQ58,OUT013,1000
NCA18,OUT017,1000
FDH52,OUT049,1000
FDM24,OUT018,1000
NCP43,OUT027,1000
NCO18,OUT019,1000
FDM32,OUT017,1000
NCL07,OUT017,1000
FDK03,OUT013,1000
FDP59,OUT017,1000
FDQ24,OUT049,1000
FDQ16,OUT018,1000
FDU44,OUT013,1000
FDH28,OUT010,1000
FDV28,OUT019,1000
FDM22,OUT045,1000
FDR56,OUT046,1000
FDV39,OUT049,1000
FDU37,OUT019,1000
FDQ11,OUT010,1000
FDX02,OUT045,1000
NCS42,OUT018,1000
FDY57,OUT027,1000
FDB21,OUT049,1000
FDE28,OUT017,1000
FDQ55,OUT017,1000
FDA48,OUT049,1000
FDZ19,OUT045,1000
NCC43,OUT045,1000
NCV18,OUT046,1000
NCA42,OUT018,1000
FDY45,OUT046,1000
NCC30,OUT045,1000
FDM57,OUT013,1000
FDL09,OUT010,1000
FDB09,OUT027,1000
FDT44,OUT035,1000
NCT06,OUT027,1000
FDX26,OUT049,1000
FDK32,OUT013,1000
DRA12,OUT046,1000
FDO46,OUT010,1000
FDE52,OUT013,1000
NCH42,OUT045,1000
FDV08,OUT035,1000
FDB47,OUT018,1000
FDC28,OUT010,1000
FDD22,OUT046,1000
FDS07,OUT027,1000
DRI13,OUT045,1000
FDG32,OUT018,1000
FDU14,OUT017,1000
FDD28,OUT019,1000
NCP41,OUT017,1000
FDS08,OUT049,1000
FDX47,OUT045,1000
FDC53,OUT019,1000
FDQ19,OUT035,1000
FDL14,OUT045,1000
FDM33,OUT019,1000
FDA51,OUT045,1000
FDZ27,OUT018,1000
FDT04,OUT046,1000
DRC13,OUT049,1000
FDR16,OUT027,1000
FDQ03,OUT027,1000
FDE38,OUT035,1000
DRH23,OUT027,1000
FDT11,OUT019,1000
FDD09,OUT035,1000
FDR40,OUT045,1000
FDX07,OUT017,1000
FDR07,OUT035,1000
FDA51,OUT017,1000
FDT59,OUT019,1000
FDF20,OUT017,1000
FDR13,OUT045,1000
FDY26,OUT049,1000
FDW04,OUT017,1000
FDK52,OUT017,1000
FDN60,OUT049,1000
FDM09,OUT019,1000
FDP46,OUT049,1000
FDB50,OUT019,1000
NCQ29,OUT049,1000
FDP16,OUT027,1000
FDX33,OUT018,1000
FDP07,OUT010,1000
FDN22,OUT046,1000
FDF39,OUT049,1000
FDS21,OUT017,1000
NCM42,OUT013,1000
FDK50,OUT019,1000
DRF13,OUT027,1000
FDH35,OUT018,1000
FDP60,OUT018,1000
DRJ49,OUT027,1000
NCT42,OUT019,1000
FDE38,OUT049,1000
FDI04,OUT049,1000
NCH54,OUT045,1000
FDT56,OUT049,1000
DRD15,OUT018,1000
FDV58,OUT013,1000
FDP21,OUT049,1000
FDH05,OUT013,1000
FDR10,OUT027,1000
NCP06,OUT045,1000
FDF33,OUT049,1000
DRK37,OUT013,1000
DRH49,OUT045,1000
FDT58,OUT013,1000
FDD41,OUT018,1000
FDP40,OUT018,1000
FDM51,OUT027,1000
FDO45,OUT010,1000
FDW33,OUT010,1000
FDY24,OUT045,1000
FDB10,OUT010,1000
FDM40,OUT035,1000
NCI06,OUT017,1000
FDW12,OUT019,1000
FDX48,OUT027,1000
NCW05,OUT027,1000
FDX27,OUT017,1000
DRM37,OUT045,1000
FDA38,OUT045,1000
FDR36,OUT046,1000
FDZ45,OUT046,1000
FDG05,OUT017,1000
FDK28,OUT013,1000
FDV47,OUT045,1000
FDN21,OUT045,1000
FDP20,OUT027,1000
FDI35,OUT045,1000
DRY23,OUT013,1000
FDA56,OUT017,1000
FDB09,OUT013,1000
NCO26,OUT027,1000
FDQ49,OUT018,1000
FDI52,OUT027,1000
FDZ44,OUT027,1000
FDZ09,OUT018,1000
FDY03,OUT049,1000
NCG42,OUT017,1000
DRI13,OUT027,1000
FDQ32,OUT013,1000
FDW16,OUT035,1000
FDU27,OUT046,1000
FDR28,OUT010,1000
FDQ49,OUT010,1000
FDS37,OUT046,1000
FDW26,OUT018,1000
FDX12,OUT018,1000
NCP06,OUT013,1000
FDW45,OUT010,1000
NCN30,OUT049,1000
FDN24,OUT049,1000
NCL41,OUT027,1000
FDR02,OUT019,1000
FDD09,OUT010,1000
FDS33,OUT010,1000
FDU22,OUT045,1000
FDI53,OUT013,1000
DRH01,OUT049,1000
FDX32,OUT013,1000
NCP30,OUT018,1000
FDB60,OUT045,1000
FDB14,OUT049,1000
NCP02,OUT035,1000
FDJ10,OUT017,1000
FDG34,OUT046,1000
NCB18,OUT017,1000
FDM16,OUT049,1000
FDW25,OUT018,1000
FDB35,OUT010,1000
DRN11,OUT013,1000
FDF41,OUT019,1000
FDH16,OUT045,1000
NCQ50,OUT018,1000
DRH23,OUT018,1000
DRJ37,OUT013,1000
DRJ24,OUT027,1000
FDY16,OUT035,1000
FDQ27,OUT045,1000
FDZ33,OUT045,1000
FDF29,OUT045,1000
FDA08,OUT049,1000
FDG31,OUT046,1000
FDE34,OUT019,1000
NCR30,OUT027,1000
FDV33,OUT035,1000
DRZ24,OUT018,1000
NCL54,OUT035,1000
FDR12,OUT049,1000
NCC54,OUT046,1000
DRN59,OUT013,1000
FDX50,OUT019,1000
FDV31,OUT027,1000
NCA29,OUT027,1000
FDW60,OUT049,1000
FDX08,OUT017,1000
DRD49,OUT013,1000
FDD33,OUT046,1000
FDW35,OUT013,1000
FDJ36,OUT017,1000
FDV51,OUT035,1000
FDW36,OUT046,1000
FDH35,OUT046,1000
NCS30,OUT027,1000
FDN49,OUT017,1000
FDL08,OUT018,1000
FDI09,OUT013,1000
FDP19,OUT018,1000
FDU21,OUT010,1000
NCP41,OUT045,1000
FDY10,OUT013,1000
FDP12,OUT018,1000
NCN26,OUT049,1000
FDK44,OUT013,1000
FDC28,OUT049,1000
FDJ41,OUT027,1000
NCT29,OUT035,1000
NCH42,OUT019,1000
FDU60,OUT018,1000
FDS02,OUT045,1000
FDC51,OUT046,1000
FDU03,OUT013,1000
FDX39,OUT045,1000
NCY05,OUT010,1000
NCL06,OUT027,1000
FDD32,OUT035,1000
NCN41,OUT045,1000
NCX53,OUT049,1000
FDU57,OUT019,1000
FDQ23,OUT046,1000
FDQ52,OUT045,1000
FDC14,OUT045,1000
FDY09,OUT035,1000
FDQ28,OUT045,1000
FDV25,OUT046,1000
FDJ07,OUT035,1000
DRB25,OUT049,1000
FDK52,OUT019,1000
FDY52,OUT027,1000
FDB28,OUT046,1000
FDT36,OUT035,1000
FDV25,OUT017,1000
NCN07,OUT027,1000
FDC57,OUT017,1000
FDQ03,OUT018,1000
FDU23,OUT017,1000
NCX41,OUT035,1000
NCD06,OUT035,1000
FDW08,OUT045,1000
NCU29,OUT017,1000
NCE06,OUT013,1000
FDV52,OUT010,1000
FDB02,OUT017,1000
NCR18,OUT045,1000
FDK16,OUT049,1000
NCQ29,OUT010,1000
FDZ01,OUT019,1000
FDW27,OUT035,1000
FDD17,OUT018,1000
FDW39,OUT013,1000
DRH59,OUT045,1000
FDS52,OUT013,1000
FDU40,OUT027,1000
NCF54,OUT013,1000
FDH46,OUT045,1000
NCP14,OUT049,1000
FDH50,OUT049,1000
DRF15,OUT010,1000
FDV27,OUT027,1000
NCJ06,OUT049,1000
FDN02,OUT018,1000
FDQ51,OUT049,1000
FDQ07,OUT017,1000
FDS45,OUT049,1000
NCJ06,OUT045,1000
FDD36,OUT035,1000
FDY25,OUT045,1000
FDU52,OUT046,1000
DRK47,OUT017,1000
NCL30,OUT017,1000
FDN22,OUT035,1000
NCF30,OUT027,1000
FDK03,OUT035,1000
FDT45,OUT017,1000
NCC54,OUT027,1000
FDP08,OUT018,1000
FDU44,OUT046,1000
DRG39,OUT035,1000
FDU32,OUT049,1000
FDY27,OUT049,1000
NCP54,OUT013,1000
NCZ41,OUT049,1000
DRL49,OUT013,1000
FDI05,OUT018,1000
FDY56,OUT045,1000
DRC13,OUT013,1000
NCV29,OUT017,1000
FDR24,OUT049,1000
FDZ34,OUT018,1000
FDP37,OUT035,1000
FDX08,OUT027,1000
FDS57,OUT045,1000
NCG18,OUT049,1000
FDK25,OUT018,1000
FDH53,OUT049,1000
DRI59,OUT018,1000
FDA52,OUT046,1000
FDT20,OUT010,1000
FDE36,OUT019,1000
FDI24,OUT017,1000
FDB28,OUT018,1000
FDV11,OUT017,1000
FDP01,OUT046,1000
FDD34,OUT027,1000
FDJ50,OUT027,1000
FDZ44,OUT013,1000
DRO59,OUT035,1000
DRB48,OUT045,1000
FDR21,OUT018,1000
NCE42,OUT010,1000
FDO23,OUT046,1000
NCE30,OUT018,1000
FDQ22,OUT035,1000
FDY01,OUT045,1000
FDS08,OUT017,1000
FDG28,OUT018,1000
FDQ51,OUT018,1000
FDB05,OUT017,1000
FDO56,OUT049,1000
FDE02,OUT018,1000
FDN45,OUT017,1000
FDS09,OUT013,1000
NCA54,OUT018,1000
FDP09,OUT010,1000
FDC53,OUT045,1000
NCM55,OUT017,1000
FDL09,OUT018,1000
FDA11,OUT019,1000
FDA50,OUT045,1000
FDC23,OUT017,1000
FDE22,OUT049,1000
FDD23,OUT046,1000
NCA29,OUT049,1000
FDK38,OUT046,1000
DRC13,OUT046,1000
NCP43,OUT049,1000
FDX28,OUT049,1000
FDF08,OUT049,1000
FDZ33,OUT046,1000
FDD10,OUT049,1000
FDO58,OUT017,1000
FDI50,OUT017,1000
FDO58,OUT045,1000
FDX08,OUT013,1000
NCK17,OUT010,1000
FDF39,OUT035,1000
FDU45,OUT010,1000
NCJ18,OUT018,1000
DRC27,OUT019,1000
DRC25,OUT035,1000
FDU59,OUT035,1000
FDU28,OUT035,1000
NCP30,OUT046,1000
FDB39,OUT018,1000
FDE41,OUT013,1000
DRH11,OUT010,1000
FDA58,OUT045,1000
FDU50,OUT046,1000
FDM34,OUT013,1000
FDM44,OUT027,1000
FDR39,OUT045,1000
FDM25,OUT045,1000
FDQ49,OUT049,1000
DRH25,OUT018,1000
FDM09,OUT027,1000
FDL44,OUT019,1000
NCR42,OUT018,1000
DRL59,OUT046,1000
FDX43,OUT013,1000
DRK47,OUT010,1000
FDU48,OUT018,1000
FDY12,OUT045,1000
NCN43,OUT018,1000
NCM55,OUT018,1000
FDQ21,OUT027,1000
FDX13,OUT035,1000
NCK30,OUT027,1000
FDG20,OUT049,1000
DRG27,OUT017,1000
FDY14,OUT018,1000
FDP59,OUT035,1000
FDU60,OUT017,1000
NCC18,OUT019,1000
DRJ39,OUT017,1000
FDS07,OUT049,1000
FDM08,OUT027,1000
FDP51,OUT045,1000
FDU16,OUT035,1000
FDH12,OUT013,1000
DRE48,OUT010,1000
NCL42,OUT027,1000
FDR21,OUT045,1000
NCW29,OUT035,1000
FDO11,OUT013,1000
NCM31,OUT049,1000
FDV35,OUT019,1000
FDF58,OUT017,1000
NCE43,OUT049,1000
FDA02,OUT035,1000
DRL37,OUT010,1000
FDR24,OUT018,1000
FDW59,OUT049,1000
FDS22,OUT049,1000
FDW24,OUT017,1000
FDU24,OUT035,1000
FDA21,OUT027,1000
FDH58,OUT027,1000
FDW36,OUT018,1000
FDI45,OUT027,1000
FDU01,OUT018,1000
FDF35,OUT027,1000
FDU43,OUT019,1000
FDE24,OUT019,1000
FDK50,OUT049,1000
FDG31,OUT045,1000
FDC60,OUT045,1000
FDL36,OUT013,1000
FDP21,OUT013,1000
FDW16,OUT045,1000
FDX02,OUT017,1000
FDQ58,OUT027,1000
FDT51,OUT046,1000
FDD59,OUT049,1000
NCM42,OUT018,1000
FDA57,OUT018,1000
FDZ48,OUT035,1000
FDE46,OUT045,1000
NCZ30,OUT019,1000
FDB56,OUT017,1000
FDA25,OUT027,1000
FDD20,OUT013,1000
FDL25,OUT013,1000
NCO18,OUT049,1000
FDJ45,OUT017,1000
FDR12,OUT035,1000
NCF19,OUT010,1000
FDK25,OUT046,1000
NCR17,OUT046,1000
FDC52,OUT046,1000
NCA54,OUT017,1000
FDR45,OUT010,1000
NCM19,OUT049,1000
FDF39,OUT027,1000
FDX23,OUT049,1000
FDD58,OUT027,1000
FDX28,OUT013,1000
NCD31,OUT013,1000
FDU57,OUT018,1000
FDI27,OUT046,1000
NCM42,OUT046,1000
FDD32,OUT027,1000
FDI34,OUT013,1000
NCM29,OUT049,1000
FDG46,OUT018,1000
DRC01,OUT010,1000
FDB15,OUT027,1000
NCA17,OUT027,1000
FDF10,OUT046,1000
FDR26,OUT027,1000
FDI02,OUT049,1000
NCM54,OUT010,1000
FDF14,OUT013,1000
FDJ33,OUT010,1000
FDM20,OUT035,1000
FDC03,OUT027,1000
NCX05,OUT046,1000
NCM41,OUT027,1000
NCU29,OUT010,1000
FDQ59,OUT017,1000
FDH46,OUT010,1000
FDH09,OUT013,1000
NCD06,OUT045,1000
FDC15,OUT035,1000
DRD37,OUT027,1000
FDT28,OUT027,1000
FDR28,OUT027,1000
FDT38,OUT017,1000
FDV34,OUT027,1000
FDY52,OUT035,1000
FDB34,OUT013,1000
DRL23,OUT018,1000
DRB24,OUT046,1000
FDJ50,OUT046,1000
FDQ49,OUT035,1000
FDP20,OUT035,1000
FDV19,OUT027,1000
NCR54,OUT045,1000
FDO09,OUT010,1000
FDS57,OUT018,1000
FDN10,OUT049,1000
FDV23,OUT049,1000
FDY28,OUT049,1000
DRG51,OUT013,1000
FDD45,OUT019,1000
NCL18,OUT027,1000
NCM29,OUT013,1000
FDF17,OUT027,1000
FDE22,OUT017,1000
FDQ22,OUT017,1000
FDS01,OUT013,1000
FDW35,OUT027,1000
FDJ33,OUT046,1000
NCF54,OUT035,1000
FDE09,OUT013,1000
NCE06,OUT045,1000
DRH49,OUT049,1000
FDY43,OUT045,1000
NCT05,OUT017,1000
FDZ34,OUT045,1000
FDL38,OUT017,1000
FDZ31,OUT017,1000
FDR14,OUT035,1000
NCN54,OUT049,1000
NCC42,OUT027,1000
FDK08,OUT017,1000
FDP59,OUT013,1000
FDV22,OUT035,1000
FDD33,OUT035,1000
DRE60,OUT027,1000
FDK52,OUT046,1000
FDA02,OUT017,1000
FDM56,OUT049,1000
FDE57,OUT035,1000
FDM32,OUT045,1000
NCQ30,OUT027,1000
FDQ27,OUT027,1000
FDT60,OUT027,1000
FDU43,OUT049,1000
NCO55,OUT035,1000
FDG02,OUT045,1000
FDJ28,OUT013,1000
FDP40,OUT045,1000
FDJ38,OUT045,1000
NCC54,OUT017,1000
NCZ41,OUT046,1000
FDK38,OUT019,1000
FDU52,OUT013,1000
FDC40,OUT046,1000
NCR30,OUT017,1000
NCN18,OUT017,1000
FDB50,OUT035,1000
FDG04,OUT013,1000
FDR26,OUT035,1000
NCT17,OUT018,1000
FDX35,OUT027,1000
FDS12,OUT046,1000
NCZ29,OUT027,1000
FDB38,OUT010,1000
FDP12,OUT013,1000
FDP22,OUT046,1000
FDS26,OUT018,1000
FDR52,OUT046,1000
DRJ13,OUT046,1000
FDU48,OUT027,1000
FDE29,OUT035,1000
NCT29,OUT049,1000
DRK37,OUT018,1000
FDK55,OUT046,1000
FDR07,OUT046,1000
FDO21,OUT027,1000
FDK46,OUT049,1000
FDB12,OUT045,1000
FDT31,OUT027,1000
FDJ33,OUT045,1000
FDC26,OUT027,1000
NCQ02,OUT045,1000
FDP08,OUT010,1000
FDB11,OUT027,1000
FDV55,OUT013,1000
FDW20,OUT049,1000
NCJ18,OUT019,1000
FDC41,OUT018,1000
FDE14,OUT027,1000
FDG35,OUT013,1000
FDF45,OUT035,1000
FDS19,OUT027,1000
FDS58,OUT019,1000
FDA26,OUT017,1000
FDM32,OUT049,1000
FDL45,OUT046,1000
FDZ55,OUT049,1000
FDY37,OUT049,1000
FDO46,OUT046,1000
FDQ60,OUT046,1000
FDA19,OUT018,1000
FDL15,OUT046,1000
FDM10,OUT018,1000
